,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,singplur,rating-sent,goodness-sent
0,temporal,0,astonishing,five,days,adj-ambig,num-num,noun-temporal,An astonishing five days is just what you need.,singular, good,0.9973636669458147
1,temporal,0,astonishing,five,weeks,adj-ambig,num-num,noun-temporal,An astonishing five weeks is just what you need.,singular, good,0.9967022890325462
2,temporal,0,astonishing,five,months,adj-ambig,num-num,noun-temporal,An astonishing five months is just what you need.,singular, good,0.9950111717471436
3,temporal,0,astonishing,five,years,adj-ambig,num-num,noun-temporal,An astonishing five years is just what you need.,singular, good,0.9950313781416839
4,temporal,0,astonishing,five,hours,adj-ambig,num-num,noun-temporal,An astonishing five hours is just what you need.,singular, good,0.9962885681520773
5,temporal,0,lovely,five,days,adj-pos,num-num,noun-temporal,A lovely five days is just what you need.,singular, good,0.9973464396319797
6,temporal,0,lovely,five,weeks,adj-pos,num-num,noun-temporal,A lovely five weeks is just what you need.,singular, good,0.9895343569661014
7,temporal,0,lovely,five,months,adj-pos,num-num,noun-temporal,A lovely five months is just what you need.,singular, good,0.9726222397379766
8,temporal,0,lovely,five,years,adj-pos,num-num,noun-temporal,A lovely five years is just what you need.,singular, good,0.9285706598573457
9,temporal,0,lovely,five,hours,adj-pos,num-num,noun-temporal,A lovely five hours is just what you need.,singular, good,0.9954894432542103
10,temporal,0,mere,five,days,adj-quant,num-num,noun-temporal,A mere five days is just what you need.,singular, good,0.9905738651745778
11,temporal,0,mere,five,weeks,adj-quant,num-num,noun-temporal,A mere five weeks is just what you need.,singular, good,0.9902408515979388
12,temporal,0,mere,five,months,adj-quant,num-num,noun-temporal,A mere five months is just what you need.,singular, good,0.9802841895691797
13,temporal,0,mere,five,years,adj-quant,num-num,noun-temporal,A mere five years is just what you need.,singular, good,0.9583551628999667
14,temporal,0,mere,five,hours,adj-quant,num-num,noun-temporal,A mere five hours is just what you need.,singular, good,0.9888906862931128
15,temporal,1,astonishing,five,days,adj-ambig,num-num,noun-temporal,An astonishing five days are just what you need.,plural, good,0.9980161654062524
16,temporal,1,astonishing,five,weeks,adj-ambig,num-num,noun-temporal,An astonishing five weeks are just what you need.,plural, good,0.9954376443087213
17,temporal,1,astonishing,five,months,adj-ambig,num-num,noun-temporal,An astonishing five months are just what you need.,plural, good,0.9959405359911039
18,temporal,1,astonishing,five,years,adj-ambig,num-num,noun-temporal,An astonishing five years are just what you need.,plural, good,0.9826420279266681
19,temporal,1,astonishing,five,hours,adj-ambig,num-num,noun-temporal,An astonishing five hours are just what you need.,plural, good,0.9889572626328965
20,temporal,1,lovely,five,days,adj-pos,num-num,noun-temporal,A lovely five days are just what you need.,plural, good,0.9263084504160777
21,temporal,1,lovely,five,weeks,adj-pos,num-num,noun-temporal,A lovely five weeks are just what you need.,plural, bad,0.32550196728812786
22,temporal,1,lovely,five,months,adj-pos,num-num,noun-temporal,A lovely five months are just what you need.,plural, bad,0.23396065781069209
23,temporal,1,lovely,five,years,adj-pos,num-num,noun-temporal,A lovely five years are just what you need.,plural, bad,0.06332871056989275
24,temporal,1,lovely,five,hours,adj-pos,num-num,noun-temporal,A lovely five hours are just what you need.,plural, bad,0.20146570262878116
25,temporal,1,mere,five,days,adj-quant,num-num,noun-temporal,A mere five days are just what you need.,plural, good,0.9831323923113998
26,temporal,1,mere,five,weeks,adj-quant,num-num,noun-temporal,A mere five weeks are just what you need.,plural, good,0.9336932414297813
27,temporal,1,mere,five,months,adj-quant,num-num,noun-temporal,A mere five months are just what you need.,plural, good,0.8987065734014552
28,temporal,1,mere,five,years,adj-quant,num-num,noun-temporal,A mere five years are just what you need.,plural, bad,0.06354578708338798
29,temporal,1,mere,five,hours,adj-quant,num-num,noun-temporal,A mere five hours are just what you need.,plural, good,0.9119970076488279
30,temporal,2,astonishing,five,days,adj-ambig,num-num,noun-temporal,An astonishing five days is ideal.,singular, good,0.9930668042734404
31,temporal,2,astonishing,five,weeks,adj-ambig,num-num,noun-temporal,An astonishing five weeks is ideal.,singular, good,0.9955423746359733
32,temporal,2,astonishing,five,months,adj-ambig,num-num,noun-temporal,An astonishing five months is ideal.,singular, good,0.9882412894105178
33,temporal,2,astonishing,five,years,adj-ambig,num-num,noun-temporal,An astonishing five years is ideal.,singular, good,0.9920388809096244
34,temporal,2,astonishing,five,hours,adj-ambig,num-num,noun-temporal,An astonishing five hours is ideal.,singular, good,0.9967608806029918
35,temporal,2,lovely,five,days,adj-pos,num-num,noun-temporal,A lovely five days is ideal.,singular, good,0.9908673582278831
36,temporal,2,lovely,five,weeks,adj-pos,num-num,noun-temporal,A lovely five weeks is ideal.,singular, good,0.9731596929079431
37,temporal,2,lovely,five,months,adj-pos,num-num,noun-temporal,A lovely five months is ideal.,singular, good,0.9142058262924093
38,temporal,2,lovely,five,years,adj-pos,num-num,noun-temporal,A lovely five years is ideal.,singular, good,0.8514432740053997
39,temporal,2,lovely,five,hours,adj-pos,num-num,noun-temporal,A lovely five hours is ideal.,singular, good,0.9885707854325073
40,temporal,2,mere,five,days,adj-quant,num-num,noun-temporal,A mere five days is ideal.,singular, good,0.9889635207742552
41,temporal,2,mere,five,weeks,adj-quant,num-num,noun-temporal,A mere five weeks is ideal.,singular, good,0.991224325999032
42,temporal,2,mere,five,months,adj-quant,num-num,noun-temporal,A mere five months is ideal.,singular, good,0.9716308418465641
43,temporal,2,mere,five,years,adj-quant,num-num,noun-temporal,A mere five years is ideal.,singular, good,0.900833989263548
44,temporal,2,mere,five,hours,adj-quant,num-num,noun-temporal,A mere five hours is ideal.,singular, good,0.9882139327996752
45,temporal,3,astonishing,five,days,adj-ambig,num-num,noun-temporal,An astonishing five days are ideal.,plural, good,0.9904656806050903
46,temporal,3,astonishing,five,weeks,adj-ambig,num-num,noun-temporal,An astonishing five weeks are ideal.,plural, good,0.9819683758155944
47,temporal,3,astonishing,five,months,adj-ambig,num-num,noun-temporal,An astonishing five months are ideal.,plural, good,0.9547239221967471
48,temporal,3,astonishing,five,years,adj-ambig,num-num,noun-temporal,An astonishing five years are ideal.,plural, good,0.7870935094692919
49,temporal,3,astonishing,five,hours,adj-ambig,num-num,noun-temporal,An astonishing five hours are ideal.,plural, good,0.9228300493326873
50,temporal,3,lovely,five,days,adj-pos,num-num,noun-temporal,A lovely five days are ideal.,plural, good,0.5163685625299492
51,temporal,3,lovely,five,weeks,adj-pos,num-num,noun-temporal,A lovely five weeks are ideal.,plural, bad,0.062403834626715504
52,temporal,3,lovely,five,months,adj-pos,num-num,noun-temporal,A lovely five months are ideal.,plural, bad,0.046449081796121616
53,temporal,3,lovely,five,years,adj-pos,num-num,noun-temporal,A lovely five years are ideal.,plural, bad,0.01575127739987403
54,temporal,3,lovely,five,hours,adj-pos,num-num,noun-temporal,A lovely five hours are ideal.,plural, bad,0.02560989593032259
55,temporal,3,mere,five,days,adj-quant,num-num,noun-temporal,A mere five days are ideal.,plural, good,0.9536574872878412
56,temporal,3,mere,five,weeks,adj-quant,num-num,noun-temporal,A mere five weeks are ideal.,plural, good,0.7277076435310357
57,temporal,3,mere,five,months,adj-quant,num-num,noun-temporal,A mere five months are ideal.,plural, good,0.5964083652196681
58,temporal,3,mere,five,years,adj-quant,num-num,noun-temporal,A mere five years are ideal.,plural, bad,0.015531561675116934
59,temporal,3,mere,five,hours,adj-quant,num-num,noun-temporal,A mere five hours are ideal.,plural, good,0.6338730190593858
60,objects,0,astonishing,five,desks,adj-ambig,num-num,noun-objects,An astonishing five desks is available.,singular, bad,0.0850175973792271
61,objects,0,astonishing,five,marbles,adj-ambig,num-num,noun-objects,An astonishing five marbles is available.,singular, bad,0.34394049151607287
62,objects,0,astonishing,five,pencils,adj-ambig,num-num,noun-objects,An astonishing five pencils is available.,singular, bad,0.4150022980215723
63,objects,0,astonishing,five,belts,adj-ambig,num-num,noun-objects,An astonishing five belts is available.,singular, bad,0.4563320149241752
64,objects,0,astonishing,five,forks,adj-ambig,num-num,noun-objects,An astonishing five forks is available.,singular, bad,0.48808978466810315
65,objects,0,astonishing,five,chairs,adj-ambig,num-num,noun-objects,An astonishing five chairs is available.,singular, bad,0.06898715983403614
