,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,sent_default,sent_no_plural,sent_no_mod,sent_default_nomod,sent_no_a,sent_reverse_mods,rating-sent,goodness-sent,rating-sent_default,goodness-sent_default,rating-sent_no_plural,goodness-sent_no_plural,rating-sent_no_mod,goodness-sent_no_mod,rating-sent_default_nomod,goodness-sent_default_nomod,rating-sent_no_a,goodness-sent_no_a,rating-sent_reverse_mods,goodness-sent_reverse_mods,sentadjorder1,sentadjorder2,rating-sentadjorder1,goodness-sentadjorder1,rating-sentadjorder2,goodness-sentadjorder2
0,spentLondon,2,impressive,21,weeks,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 21 weeks in Papua New Guinea.,The tourist passed 21 impressive weeks in Papua New Guinea.,The tourist passed an impressive 21 week in Papua New Guinea.,The tourist passed a 21 weeks in Papua New Guinea.,The tourist passed 21 weeks in Papua New Guinea.,The tourist passed impressive 21 weeks in Papua New Guinea.,The tourist passed a 21 impressive weeks in Papua New Guinea., good,0.9981227952569586, good,0.9988716711422462, good,0.9793124511494551, bad,0.13459885664024818, good,0.9774952944461833, good,0.9947279896839137, good,0.9530915832478126,,,,,,
1,spentLondon,2,impressive,21,months,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 21 months in Papua New Guinea.,The tourist passed 21 impressive months in Papua New Guinea.,The tourist passed an impressive 21 month in Papua New Guinea.,The tourist passed a 21 months in Papua New Guinea.,The tourist passed 21 months in Papua New Guinea.,The tourist passed impressive 21 months in Papua New Guinea.,The tourist passed a 21 impressive months in Papua New Guinea., good,0.9978509378478669, good,0.9989812263026544, good,0.9900415955787764, bad,0.1438164172453218, good,0.9928893044818027, good,0.9966416698481002, good,0.9322834776269955,,,,,,
2,spentLondon,2,impressive,21,years,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 21 years in Papua New Guinea.,The tourist passed 21 impressive years in Papua New Guinea.,The tourist passed an impressive 21 year in Papua New Guinea.,The tourist passed a 21 years in Papua New Guinea.,The tourist passed 21 years in Papua New Guinea.,The tourist passed impressive 21 years in Papua New Guinea.,The tourist passed a 21 impressive years in Papua New Guinea., good,0.9963422714461908, good,0.9975353902501128, good,0.9238495825870882, bad,0.021242285778114267, good,0.9140655795931388, good,0.9851518009939251, good,0.8116297546377499,,,,,,
3,spentLondon,2,impressive,21,hours,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 21 hours in Papua New Guinea.,The tourist passed 21 impressive hours in Papua New Guinea.,The tourist passed an impressive 21 hour in Papua New Guinea.,The tourist passed a 21 hours in Papua New Guinea.,The tourist passed 21 hours in Papua New Guinea.,The tourist passed impressive 21 hours in Papua New Guinea.,The tourist passed a 21 impressive hours in Papua New Guinea., good,0.9967581984227469, good,0.9986376646225147, good,0.808518466322567, bad,0.03697266275378508, good,0.9865791486093997, good,0.9941951213945897, good,0.9762006994759482,,,,,,
4,spentLondon,2,impressive,51,days,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 51 days in Papua New Guinea.,The tourist passed 51 impressive days in Papua New Guinea.,The tourist passed an impressive 51 day in Papua New Guinea.,The tourist passed a 51 days in Papua New Guinea.,The tourist passed 51 days in Papua New Guinea.,The tourist passed impressive 51 days in Papua New Guinea.,The tourist passed a 51 impressive days in Papua New Guinea., good,0.9985496859234365, good,0.9991909149859346, good,0.9765741149297318, bad,0.3512964978129055, good,0.9937075558699534, good,0.9973372017533655, good,0.9711987691765883,,,,,,
5,spentLondon,2,impressive,51,weeks,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 51 weeks in Papua New Guinea.,The tourist passed 51 impressive weeks in Papua New Guinea.,The tourist passed an impressive 51 week in Papua New Guinea.,The tourist passed a 51 weeks in Papua New Guinea.,The tourist passed 51 weeks in Papua New Guinea.,The tourist passed impressive 51 weeks in Papua New Guinea.,The tourist passed a 51 impressive weeks in Papua New Guinea., good,0.9975046931668637, good,0.9972385552224029, good,0.9793991172808111, bad,0.046111248483711176, good,0.946557580500846, good,0.9890878581166914, good,0.8772901478427947,,,,,,
6,spentLondon,2,impressive,51,months,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 51 months in Papua New Guinea.,The tourist passed 51 impressive months in Papua New Guinea.,The tourist passed an impressive 51 month in Papua New Guinea.,The tourist passed a 51 months in Papua New Guinea.,The tourist passed 51 months in Papua New Guinea.,The tourist passed impressive 51 months in Papua New Guinea.,The tourist passed a 51 impressive months in Papua New Guinea., good,0.9976455985610749, good,0.9942521636835739, good,0.969140890333108, bad,0.050554320547169684, good,0.9546634223040632, good,0.9940563630137318, good,0.6643338298811329,,,,,,
7,spentLondon,2,impressive,51,years,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 51 years in Papua New Guinea.,The tourist passed 51 impressive years in Papua New Guinea.,The tourist passed an impressive 51 year in Papua New Guinea.,The tourist passed a 51 years in Papua New Guinea.,The tourist passed 51 years in Papua New Guinea.,The tourist passed impressive 51 years in Papua New Guinea.,The tourist passed a 51 impressive years in Papua New Guinea., good,0.9970022213387124, good,0.9972583438228358, good,0.9638888681684554, bad,0.02974958887285184, good,0.7566680719302357, good,0.988356922382374, good,0.8914858089297261,,,,,,
8,spentLondon,2,impressive,51,hours,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 51 hours in Papua New Guinea.,The tourist passed 51 impressive hours in Papua New Guinea.,The tourist passed an impressive 51 hour in Papua New Guinea.,The tourist passed a 51 hours in Papua New Guinea.,The tourist passed 51 hours in Papua New Guinea.,The tourist passed impressive 51 hours in Papua New Guinea.,The tourist passed a 51 impressive hours in Papua New Guinea., good,0.9974452646051143, good,0.9988078353935205, good,0.778270078844734, bad,0.05144691134203405, good,0.9893672258649683, good,0.9946223098259224, good,0.8233616630972872,,,,,,
9,spentLondon,2,impressive,512,days,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 512 days in Papua New Guinea.,The tourist passed 512 impressive days in Papua New Guinea.,The tourist passed an impressive 512 day in Papua New Guinea.,The tourist passed a 512 days in Papua New Guinea.,The tourist passed 512 days in Papua New Guinea.,The tourist passed impressive 512 days in Papua New Guinea.,The tourist passed a 512 impressive days in Papua New Guinea., good,0.9978847350327633, good,0.9985495657979165, good,0.9774893346755414, bad,0.23381412345234487, good,0.9965882617504033, good,0.997104860522759, good,0.9658133334851732,,,,,,
10,spentLondon,2,impressive,512,weeks,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 512 weeks in Papua New Guinea.,The tourist passed 512 impressive weeks in Papua New Guinea.,The tourist passed an impressive 512 week in Papua New Guinea.,The tourist passed a 512 weeks in Papua New Guinea.,The tourist passed 512 weeks in Papua New Guinea.,The tourist passed impressive 512 weeks in Papua New Guinea.,The tourist passed a 512 impressive weeks in Papua New Guinea., good,0.9950455654997187, good,0.9852278566634831, good,0.9217419917490097, bad,0.06658499503903637, good,0.8227548140548943, good,0.9806706045306521, good,0.6055535988034741,,,,,,
11,spentLondon,2,impressive,512,months,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 512 months in Papua New Guinea.,The tourist passed 512 impressive months in Papua New Guinea.,The tourist passed an impressive 512 month in Papua New Guinea.,The tourist passed a 512 months in Papua New Guinea.,The tourist passed 512 months in Papua New Guinea.,The tourist passed impressive 512 months in Papua New Guinea.,The tourist passed a 512 impressive months in Papua New Guinea., good,0.9729359376446629, good,0.9367285124270371, good,0.5678883196090012, bad,0.04216340073443492, bad,0.4663428833977806, good,0.9560786083534437, bad,0.3844277955485499,,,,,,
12,spentLondon,2,impressive,512,years,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 512 years in Papua New Guinea.,The tourist passed 512 impressive years in Papua New Guinea.,The tourist passed an impressive 512 year in Papua New Guinea.,The tourist passed a 512 years in Papua New Guinea.,The tourist passed 512 years in Papua New Guinea.,The tourist passed impressive 512 years in Papua New Guinea.,The tourist passed a 512 impressive years in Papua New Guinea., good,0.7997466971612898, good,0.9092808105628557, good,0.6541575594175969, bad,0.03084546406709132, bad,0.09606547562340118, good,0.5359142028679509, good,0.6401062889072519,,,,,,
13,spentLondon,2,impressive,512,hours,adj-ambig,num-med_odd,noun-measure,The tourist passed an impressive 512 hours in Papua New Guinea.,The tourist passed 512 impressive hours in Papua New Guinea.,The tourist passed an impressive 512 hour in Papua New Guinea.,The tourist passed a 512 hours in Papua New Guinea.,The tourist passed 512 hours in Papua New Guinea.,The tourist passed impressive 512 hours in Papua New Guinea.,The tourist passed a 512 impressive hours in Papua New Guinea., good,0.9957906263537218, good,0.9987232558322298, good,0.6587849009241268, bad,0.0405355262360505, good,0.9862093622304988, good,0.9924602108977251, good,0.8422192388085172,,,,,,
14,spentLondon,2,impressive,"1,429",days,adj-ambig,num-high_odd,noun-measure,"The tourist passed an impressive 1,429 days in Papua New Guinea.","The tourist passed 1,429 impressive days in Papua New Guinea.","The tourist passed an impressive 1,429 day in Papua New Guinea.","The tourist passed a 1,429 days in Papua New Guinea.","The tourist passed 1,429 days in Papua New Guinea.","The tourist passed impressive 1,429 days in Papua New Guinea.","The tourist passed a 1,429 impressive days in Papua New Guinea.", good,0.9977872816784354, good,0.9957327516886105, good,0.8922024413194692, bad,0.11957982159078029, good,0.9826953160834005, good,0.9908968027843441, good,0.9871810990829174,,,,,,
15,spentLondon,2,impressive,"1,429",weeks,adj-ambig,num-high_odd,noun-measure,"The tourist passed an impressive 1,429 weeks in Papua New Guinea.","The tourist passed 1,429 impressive weeks in Papua New Guinea.","The tourist passed an impressive 1,429 week in Papua New Guinea.","The tourist passed a 1,429 weeks in Papua New Guinea.","The tourist passed 1,429 weeks in Papua New Guinea.","The tourist passed impressive 1,429 weeks in Papua New Guinea.","The tourist passed a 1,429 impressive weeks in Papua New Guinea.", good,0.9928484148656999, good,0.9794880487992028, good,0.7510983327777978, bad,0.038466064265039956, good,0.8879481795991732, good,0.973787088698812, good,0.8120415582656553,,,,,,
16,spentLondon,2,impressive,"1,429",months,adj-ambig,num-high_odd,noun-measure,"The tourist passed an impressive 1,429 months in Papua New Guinea.","The tourist passed 1,429 impressive months in Papua New Guinea.","The tourist passed an impressive 1,429 month in Papua New Guinea.","The tourist passed a 1,429 months in Papua New Guinea.","The tourist passed 1,429 months in Papua New Guinea.","The tourist passed impressive 1,429 months in Papua New Guinea.","The tourist passed a 1,429 impressive months in Papua New Guinea.", good,0.9752439969601113, good,0.9338607890391752, bad,0.3529855170785443, bad,0.04298934419624845, good,0.6119664611585561, good,0.9503213485058473, good,0.6478241454102255,,,,,,
17,spentLondon,2,impressive,"1,429",years,adj-ambig,num-high_odd,noun-measure,"The tourist passed an impressive 1,429 years in Papua New Guinea.","The tourist passed 1,429 impressive years in Papua New Guinea.","The tourist passed an impressive 1,429 year in Papua New Guinea.","The tourist passed a 1,429 years in Papua New Guinea.","The tourist passed 1,429 years in Papua New Guinea.","The tourist passed impressive 1,429 years in Papua New Guinea.","The tourist passed a 1,429 impressive years in Papua New Guinea.", good,0.968805561648029, good,0.9528296753619456, good,0.7461245243404824, bad,0.03682382982457155, bad,0.44129318799920547, good,0.8744676917776085, good,0.8900377601688025,,,,,,
18,spentLondon,2,impressive,"1,429",hours,adj-ambig,num-high_odd,noun-measure,"The tourist passed an impressive 1,429 hours in Papua New Guinea.","The tourist passed 1,429 impressive hours in Papua New Guinea.","The tourist passed an impressive 1,429 hour in Papua New Guinea.","The tourist passed a 1,429 hours in Papua New Guinea.","The tourist passed 1,429 hours in Papua New Guinea.","The tourist passed impressive 1,429 hours in Papua New Guinea.","The tourist passed a 1,429 impressive hours in Papua New Guinea.", good,0.9961892661452388, good,0.9964259581464969, good,0.6381558349853023, bad,0.039798451306288785, good,0.9755510189295622, good,0.9858116203938543, good,0.9875907032821322,,,,,,
19,spentLondon,2,impressive,"21,234",days,adj-ambig,num-high_odd,noun-measure,"The tourist passed an impressive 21,234 days in Papua New Guinea.","The tourist passed 21,234 impressive days in Papua New Guinea.","The tourist passed an impressive 21,234 day in Papua New Guinea.","The tourist passed a 21,234 days in Papua New Guinea.","The tourist passed 21,234 days in Papua New Guinea.","The tourist passed impressive 21,234 days in Papua New Guinea.","The tourist passed a 21,234 impressive days in Papua New Guinea.", good,0.9953253503452195, good,0.992067133587216, good,0.6131690537937853, bad,0.13260389671559947, good,0.9613795584712364, good,0.9827127197715576, good,0.9699135297945698,,,,,,
20,spentLondon,2,impressive,"21,234",weeks,adj-ambig,num-high_odd,noun-measure,"The tourist passed an impressive 21,234 weeks in Papua New Guinea.","The tourist passed 21,234 impressive weeks in Papua New Guinea.","The tourist passed an impressive 21,234 week in Papua New Guinea.","The tourist passed a 21,234 weeks in Papua New Guinea.","The tourist passed 21,234 weeks in Papua New Guinea.","The tourist passed impressive 21,234 weeks in Papua New Guinea.","The tourist passed a 21,234 impressive weeks in Papua New Guinea.", good,0.9595120970054966, good,0.9754816967861693, good,0.5283846799689611, bad,0.02735665802099385, good,0.7140180763115974, good,0.9579367942139527, good,0.8574763332769041,,,,,,
21,spentLondon,2,impressive,"21,234",months,adj-ambig,num-high_odd,noun-measure,"The tourist passed an impressive 21,234 months in Papua New Guinea.","The tourist passed 21,234 impressive months in Papua New Guinea.","The tourist passed an impressive 21,234 month in Papua New Guinea.","The tourist passed a 21,234 months in Papua New Guinea.","The tourist passed 21,234 months in Papua New Guinea.","The tourist passed impressive 21,234 months in Papua New Guinea.","The tourist passed a 21,234 impressive months in Papua New Guinea.", good,0.9077043945943997, good,0.9476990072904447, bad,0.2623878245282698, bad,0.038945048437566854, bad,0.29460536018713157, good,0.8983199656103831, good,0.8525932514001745,,,,,,
