HITId,WorkerId,batch,variable,value,English,country,answer
mainH222,mainS25,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH216,mainS71,1,Input.id_1,incredible-three-weeks-sent_no_a-The touris,TRUE,TRUE,2
mainH229,mainS31,1,Input.id_1,filler_1_8,FALSE,FALSE,8
mainH231,mainS73,1,Input.id_1,filler_0_2,TRUE,TRUE,4
mainH305,mainS26,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH313,mainS99,1,Input.id_1,filler_0_7,TRUE,TRUE,4
mainH61,mainS28,1,Input.id_1,ugly-three-days-sent_no_plural-The family,TRUE,TRUE,3
mainH226,mainS63,1,Input.id_1,filler_0_2,TRUE,TRUE,3
mainH339,mainS98,1,Input.id_1,filler_1_5,TRUE,TRUE,2
mainH119,mainS111,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH50,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH114,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH192,mainS40,1,Input.id_1,lovely-three-weeks-sent_no_plural-The diplom,TRUE,TRUE,4
mainH307,mainS63,1,Input.id_1,astonishing-three-months-sent_no_plural-The touris,TRUE,TRUE,2
mainH16,mainS15,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH31,mainS69,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH42,mainS32,1,Input.id_1,paltry-three-months-sent-The touris,TRUE,TRUE,3
mainH123,mainS63,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH19,mainS88,1,Input.id_1,ugly-three-weeks-sent_reverse_mods-The touris,TRUE,TRUE,4
mainH66,mainS15,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH95,mainS63,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH273,mainS63,1,Input.id_1,meager-three-months-sent_no_a-The family,TRUE,TRUE,3
mainH28,mainS15,1,Input.id_1,meager-three-days-sent_no_plural-The diplom,TRUE,TRUE,2
mainH153,mainS111,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH143,mainS69,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH187,mainS111,1,Input.id_1,filler_1_8,TRUE,TRUE,9
mainH301,mainS111,1,Input.id_1,ugly-three-months-sent_reverse_mods-The diplom,TRUE,TRUE,7
mainH170,mainS63,1,Input.id_1,paltry-three-months-sent_no_plural-The touris,TRUE,TRUE,3
mainH41,mainS111,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH213,mainS122,1,Input.id_1,staggering-three-months-sent_default-The diplom,TRUE,TRUE,9
mainH167,mainS126,1,Input.id_1,filler_1_5,TRUE,TRUE,2
mainH12,mainS63,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH340,mainS63,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH241,mainS111,1,Input.id_1,astonishing-three-days-sent_no_mod-The diplom,TRUE,TRUE,8
mainH194,mainS63,1,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH78,mainS63,1,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH297,mainS63,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH17,mainS111,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH179,mainS63,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH214,mainS131,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH62,mainS121,1,Input.id_1,filler_0_3,TRUE,TRUE,1
mainH302,mainS111,1,Input.id_1,filler_1_1,TRUE,TRUE,10
mainH207,mainS67,1,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH277,mainS63,1,Input.id_1,filler_0_6,TRUE,TRUE,2
mainH244,mainS111,1,Input.id_1,beautiful-three-weeks-sent_no_plural-The family,TRUE,TRUE,7
mainH82,mainS87,1,Input.id_1,filler_1_5,FALSE,FALSE,2
mainH218,mainS111,1,Input.id_1,beautiful-three-months-sent_reverse_mods-The touris,TRUE,TRUE,7
mainH101,mainS111,1,Input.id_1,beautiful-three-months-sent_no_a-The diplom,TRUE,TRUE,7
mainH322,mainS63,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH286,mainS67,1,Input.id_1,disappointing-three-weeks-sent_no_plural-The family,TRUE,TRUE,4
mainH97,mainS140,1,Input.id_1,filler_1_5,TRUE,TRUE,10
mainH117,mainS15,1,Input.id_1,lovely-three-days-sent_reverse_mods-The touris,TRUE,TRUE,2
mainH21,mainS23,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH150,mainS33,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH336,mainS63,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH256,mainS111,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH200,mainS111,1,Input.id_1,hideous-three-months-sent_default-The family,TRUE,TRUE,10
mainH183,mainS15,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH14,mainS73,1,Input.id_1,filler_0_3,TRUE,TRUE,1
mainH39,mainS63,1,Input.id_1,filler_0_7,TRUE,TRUE,2
mainH320,mainS15,1,Input.id_1,filler_0_2,TRUE,TRUE,2
mainH154,mainS73,1,Input.id_1,filler_1_1,TRUE,TRUE,9
mainH221,mainS124,1,Input.id_1,filler_1_1,TRUE,TRUE,6
mainH89,mainS63,1,Input.id_1,staggering-three-weeks-sent_reverse_mods-The diplom,TRUE,TRUE,4
mainH75,mainS67,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH1,mainS111,1,Input.id_1,filler_0_2,TRUE,TRUE,10
mainH173,mainS111,1,Input.id_1,lovely-three-weeks-sent-The touris,TRUE,TRUE,10
mainH76,mainS67,1,Input.id_1,filler_0_2,TRUE,TRUE,4
mainH71,mainS63,1,Input.id_1,whopping-three-days-sent_reverse_mods-The family,TRUE,TRUE,10
mainH317,mainS15,1,Input.id_1,filler_0_2,TRUE,TRUE,1
mainH135,mainS63,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH133,mainS63,1,Input.id_1,filler_1_8,TRUE,TRUE,10
mainH240,mainS111,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH250,mainS63,1,Input.id_1,hefty-three-weeks-sent_reverse_mods-The touris,TRUE,TRUE,9
mainH72,mainS73,1,Input.id_1,filler_0_7,TRUE,TRUE,3
mainH332,mainS92,1,Input.id_1,filler_0_2,TRUE,TRUE,1
mainH58,mainS37,1,Input.id_1,filler_0_6,TRUE,TRUE,2
mainH306,mainS142,1,Input.id_1,filler_0_2,TRUE,TRUE,3
mainH163,mainS130,1,Input.id_1,hefty-three-weeks-sent_default-The touris,TRUE,TRUE,6
mainH23,mainS111,1,Input.id_1,filler_0_3,TRUE,TRUE,5
mainH40,mainS63,1,Input.id_1,filler_1_4,TRUE,TRUE,10
mainH113,mainS69,1,Input.id_1,filler_0_6,TRUE,TRUE,4
mainH261,mainS111,1,Input.id_1,filler_1_5,TRUE,TRUE,9
mainH152,mainS9,1,Input.id_1,paltry-three-weeks-sent_no_mod-The touris,TRUE,NA,1
mainH157,mainS63,1,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH289,mainS63,1,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH139,mainS63,1,Input.id_1,filler_0_3,TRUE,TRUE,2
mainH138,mainS63,1,Input.id_1,filler_0_6,TRUE,TRUE,2
mainH7,mainS63,1,Input.id_1,filler_0_6,TRUE,TRUE,2
mainH63,mainS111,1,Input.id_1,filler_0_6,TRUE,TRUE,1
mainH107,mainS63,1,Input.id_1,filler_1_5,TRUE,TRUE,10
